lat,lon,distance,pci,mean_rsrp
51.38375941553636,12.240341234105319,2829.5290075697853,216,-238.9237
51.38375941553636,12.241059442234874,2865.1726435568376,216,-239.31905
51.38375941553636,12.24177765036443,2901.2397516158208,216,-240.77356
51.38375941553636,12.242495858493985,2937.714734546293,216,-243.29181
51.38375941553636,12.24321406662354,2974.5825880286234,216,-250.47531
51.38375941553636,12.243932274753096,3011.828884688921,216,-262.25616
51.38375941553636,12.244650482882651,3049.4397574734007,216,-274.12314
51.38375941553636,12.245368691012207,3087.4018825588014,216,-286.05948
51.38375941553636,12.246086899141762,3125.702461933662,216,-296.55365
51.38375941553636,12.246805107271317,3164.3292058119405,216,-295.90558
51.38375941553636,12.247523315400873,3203.2703150169687,216,-292.25046
51.38375941553636,12.248241523530428,3242.514463413824,216,-289.3648
51.38375941553636,12.248959731659983,3282.0507805132165,216,-286.84586
51.38375941553636,12.249677939789539,3321.868834300598,216,-284.21936
51.38375941553636,12.250396147919094,3361.9586143683073,216,-279.8529
51.38375941553636,12.25111435604865,3402.310515386817,216,-277.50018
51.38375941553636,12.251832564178205,3442.9153209811934,216,-275.14923
51.38375941553636,12.25255077230776,3483.764188014894,216,-272.81458
51.38375941553636,12.253268980437316,3524.8486313343146,216,-270.5633
51.38375941553636,12.253987188566871,3566.1605089796967,216,-269.56152
51.38375941553636,12.254705396696426,3607.692007866351,216,-268.64667
51.38375941553636,12.255423604825982,3649.435629963006,216,-268.74118
51.38375941553636,12.256141812955537,3691.3841789542475,216,-268.63367
51.38375941553636,12.256860021085092,3733.530747397968,216,-268.05835
51.38375941553636,12.257578229214648,3775.8687043661953,216,-266.25073
51.38375941553636,12.258296437344203,3818.391683567524,216,-264.37903
51.38375941553636,12.259014645473759,3861.0935719451013,216,-263.62097
51.38375941553636,12.259732853603314,3903.9684987350215,216,-263.3874
51.38375941553636,12.26045106173287,3947.010824978723,216,-262.7082
51.38375941553636,12.261169269862425,3990.2151334791442,216,-262.07013
51.38375941553636,12.26188747799198,4033.5762191762497,216,-261.3321
51.38375941553636,12.262605686121535,4077.089079951459,216,-260.07953
51.38375941553636,12.26332389425109,4120.748907816433,216,-258.6618
51.38375941553636,12.264042102380646,4164.551080499304,216,-258.40845
51.38375941553636,12.264760310510201,4208.491153407835,216,-259.46555
51.38375941553636,12.265478518639757,4252.564851930614,216,-256.38605
51.38375941553636,12.266196726769312,4296.768064110587,216,-252.427
51.38375941553636,12.266914934898868,4341.096833625502,216,-246.533
51.38375941553636,12.267633143028423,4385.547353103922,216,-238.48909
51.38375941553636,12.268351351157978,4430.1159577280005,216,-234.80441
51.38375941553636,12.269069559287534,4474.799119144595,216,-230.56639
51.38375941553636,12.269787767417089,4519.593439634845,216,-221.95093
51.38375941553636,12.270505975546644,4564.495646573706,216,-213.56537
51.38375941553636,12.2712241836762,4609.502587115801,216,-206.18958
51.38375941553636,12.271942391805755,4654.611223150664,216,-198.85431
51.38375941553636,12.27266059993531,4699.818626469485,216,-186.54906
51.38375941553636,12.273378808064866,4745.121974160607,216,-170.18655
51.38375941553636,12.274097016194421,4790.518544218927,216,-161.29617
51.38375941553636,12.274815224323977,4836.005711349111,216,-160.98352
51.38375941553636,12.275533432453532,4881.580942962894,216,-160.81622
51.38375941553636,12.276251640583087,4927.241795362394,216,-161.45886
51.38375941553636,12.276969848712643,4972.98591008995,216,-162.14355
51.38375941553636,12.277688056842198,5018.811010449124,216,-162.68585
51.38375941553636,12.278406264971753,5064.714898186203,216,-163.23062
51.38375941553636,12.279124473101309,5110.695450306805,216,-163.77785
51.38375941553636,12.279842681230864,5156.750616057592,216,-164.24716
51.38375941553636,12.28056088936042,5202.878414026093,216,-167.01038
51.38375941553636,12.281279097489975,5249.076929377015,216,-170.24866
51.38375941553636,12.28199730561953,5295.344311214071,216,-177.1752
51.38375941553636,12.282715513749086,5341.678770054267,216,-192.7849
51.38375941553636,12.283433721878641,5388.078575419918,216,-208.88596
51.38375941553636,12.284151930008196,5434.542053534268,216,-225.16336
51.38375941553636,12.284870138137752,5481.067585111908,216,-241.60947
51.38375941553636,12.285588346267307,5527.653603262989,216,-259.10272
51.38375941553636,12.286306554396862,5574.298591472456,216,-277.9452
