lat,lon,distance,rsrp,pci,lat_minmax,lon_minmax,distance_minmax,rsrp_minmax,pci_minmax,lat_meannorm,lon_meannorm,distance_meannorm,rsrp_meannorm
51.403816,12.209805,201.9502769137235,-72.3,217.0,0.4919393532290373,0.19982435780822852,0.03977209762593428,0.7781250000000001,0.0014084507042253522,0.11829258333897799,-0.6599938778020763,-1.220102902880746,2.329907714239227
51.403836,12.209851,202.04364723420616,-76.6,217.0,0.4924191536320515,0.20018505159489464,0.03979266644600505,0.7109375000000001,0.0014084507042253522,0.12104532825485587,-0.6580376981523822,-1.2199548658778996,1.9188317754507715
51.403857,12.209897,202.30626567604375,-78.3,217.0,0.4929229440553273,0.2005457453815468,0.03985051942808224,0.6843750000000001,0.0014084507042253522,0.1239357104171633,-0.6560815185027636,-1.2195384889519032,1.7563133810460332
51.403877,12.209943,202.55012373730136,-76.2,217.0,0.4934027444583415,0.2009064391682129,0.039904239631235516,0.7171875,0.0014084507042253522,0.12668845533304116,-0.6541253388530696,-1.2191518562797445,1.9570713976636505
51.403898,12.209987,203.0335331889237,-76.7,217.0,0.49390653488144676,0.20125145061631255,0.04001073130845727,0.709375,0.0014084507042253522,0.12957883749437063,-0.652254210492578,-1.2183854190864702,1.9092718698975508
51.403918,12.210032,203.45751950301096,-76.3,217.0,0.49438633528446096,0.20160430323369544,0.04010413248949477,0.7156250000000001,0.0014084507042253522,0.1323315824102485,-0.6503405564874852,-1.2177131962338446,1.947511492110431
51.403938,12.210076,203.98471438603465,-76.3,217.0,0.4948661356874752,0.20194931468180902,0.040220269787033136,0.7156250000000001,0.0014084507042253522,0.13508432732612638,-0.6484694281269181,-1.216877338008282,1.947511492110431
51.403959,12.210122,204.61801204809117,-75.6,217.0,0.49536992611075087,0.2023100084684612,0.040359780775051014,0.7265625000000001,0.0014084507042253522,0.13797470948843382,-0.6465132484772995,-1.2158732556905183,2.0144308309829704
51.40398,12.210171,205.23651842109803,-77.0,217.0,0.49587371653385615,0.2026942257629491,0.04049603334688798,0.7046875,0.0014084507042253522,0.14086509164976327,-0.6444294918939527,-1.2148926247016978,1.8805921532378915
51.404,12.210219,205.8627293738461,-76.0,217.0,0.49635351693704083,0.2030706018881538,0.04063398318305476,0.7203125,0.0014084507042253522,0.1436178365666191,-0.6423882609552072,-1.2138997782370475,1.9761912087700904
